日期,气温,白昼,天气,白昼,天气,风向
06月12日(今天) ,24℃~30℃,白天,阴,夜间,雨,东南风
06月13日(星期日) ,25℃~31℃,白天,阴,夜间,雨,东风
06月14日(星期一) ,26℃~35℃,白天,小雨,夜间,雨,东北风
06月15日(星期二) ,26℃~35℃,白天,小雨,夜间,雨,东北风
06月16日(星期三) ,26℃~36℃,白天,小雨,夜间,雨,东南风
06月17日(星期四) ,23℃~30℃,白天,小雨,夜间,雨,东北风
06月18日(星期五) ,22℃~28℃,白天,小雨,夜间,雨,东北风
06月19日(星期六) ,20℃~24℃,白天,阴,夜间,阴,东北风
06月20日(星期日) ,20℃~26℃,白天,多云,夜间,多云,东北风
06月21日(星期一) ,21℃~27℃,白天,多云,夜间,晴,东北风
06月22日(星期二) ,20℃~28℃,白天,晴,夜间,多云,东南风
06月23日(星期三) ,21℃~30℃,白天,晴,夜间,晴,东风
06月24日(星期四) ,23℃~31℃,白天,晴,夜间,多云,东南风
06月25日(星期五) ,22℃~32℃,白天,晴,夜间,多云,东风
06月26日(星期六) ,21℃~31℃,白天,多云,夜间,晴,东北风
