日期,气温,白昼,天气,白昼,天气,风向
07月06日(星期二) ,36℃~28℃,白天,多云,夜间,多云,南风
07月07日(今天) ,28℃~35℃,白天,晴,夜间,阴,东南风
07月08日(星期四) ,28℃~35℃,白天,阴,夜间,阴,东南风
07月09日(星期五) ,28℃~35℃,白天,阴,夜间,阴,南风
07月10日(星期六) ,28℃~35℃,白天,多云,夜间,阴,东南风
07月11日(星期日) ,28℃~36℃,白天,阴,夜间,阴,东风
07月12日(星期一) ,27℃~36℃,白天,阴,夜间,阴,东南风
07月13日(星期二) ,28℃~36℃,白天,阴,夜间,阴,东风
07月14日(星期三) ,29℃~38℃,白天,多云,夜间,阴,东风
07月15日(星期四) ,30℃~38℃,白天,多云,夜间,阴,东南风
07月16日(星期五) ,31℃~38℃,白天,阴,夜间,多云,东北风
07月17日(星期六) ,30℃~38℃,白天,多云,夜间,阴,东风
07月18日(星期日) ,30℃~38℃,白天,阴,夜间,雨,东北风
07月19日(星期一) ,28℃~38℃,白天,小雨,夜间,雨,东南风
07月20日(星期二) ,26℃~38℃,白天,小雨,夜间,雨,东风
